iter	Logloss
0	0.6373517704
1	0.5951314511
2	0.5622033406
3	0.537398135
4	0.5204932386
5	0.5011287526
6	0.4916749797
7	0.4800939167
8	0.4717060811
9	0.4610542679
10	0.4552992485
11	0.4480827805
12	0.4435371653
13	0.4410623772
14	0.4372897313
15	0.4366759501
16	0.4320634527
17	0.4275406806
18	0.4233065743
19	0.4216858579
20	0.4209180799
21	0.4172327312
22	0.4146711637
23	0.4127641627
24	0.4106665065
25	0.4101038144
26	0.4081381913
27	0.4078479161
28	0.4065607013
29	0.4062656477
30	0.4060693967
31	0.404914889
32	0.404196355
33	0.404070755
34	0.4040251663
35	0.4032228447
36	0.4022474962
37	0.401410755
38	0.4007233883
39	0.3995742343
40	0.3993721032
41	0.398717725
42	0.3974138841
43	0.3966237407
44	0.3956995913
45	0.395453957
46	0.3953438206
47	0.394492304
48	0.3941856269
49	0.3941579868
50	0.3938604121
51	0.3938525166
52	0.3934877314
53	0.393058961
54	0.3920971828
55	0.3919149501
56	0.3918611496
57	0.3911549945
58	0.3908156658
59	0.3896466193
60	0.3894602786
61	0.3888594579
62	0.3883745641
63	0.388117383
64	0.3872187232
65	0.3870283058
66	0.386802262
67	0.3866737078
68	0.3856197755
69	0.3853108552
70	0.3846423136
71	0.3841286679
72	0.3836229951
73	0.3829902464
74	0.3822374592
75	0.3818676655
76	0.3815906443
77	0.3810129886
78	0.3806274881
79	0.3800916152
80	0.3794404587
81	0.3789290626
82	0.3785872772
83	0.3783715415
84	0.377942987
85	0.3775389879
86	0.3771825509
87	0.3765668078
88	0.3762228518
89	0.3755810845
90	0.3753933517
91	0.3750617699
92	0.3746622447
93	0.3744806818
94	0.3739872002
95	0.3736958852
96	0.3734127389
97	0.3730608774
98	0.3727457612
99	0.3724825848
100	0.3721053937
101	0.3719070713
102	0.3713324194
103	0.3710181465
104	0.3706973266
105	0.3705174958
106	0.370403985
107	0.3701034112
108	0.3698391578
109	0.3695245668
110	0.369406503
111	0.3692170665
112	0.368988724
113	0.368779088
114	0.3685720374
115	0.3684059736
116	0.3681924727
117	0.3680639055
118	0.3679077737
119	0.3676687963
120	0.3675351981
121	0.3673395326
122	0.3672517391
123	0.3671145215
124	0.3670106943
125	0.3668053646
126	0.3666009862
127	0.3665124101
128	0.3663577219
129	0.3662256297
130	0.3661159967
131	0.3660335972
132	0.3658992135
133	0.3657650853
134	0.3656495013
135	0.3655004507
136	0.3653569115
137	0.3653051352
138	0.3652288914
139	0.3651008948
140	0.3649566628
141	0.3648252186
142	0.3647726987
143	0.364680868
144	0.3645320588
145	0.3644150844
146	0.3643309728
147	0.3641914365
148	0.364123322
149	0.3640454547
150	0.3639395591
151	0.3638647376
152	0.3637927777
153	0.363740764
154	0.363608067
155	0.3635232224
156	0.3634797317
157	0.3634266446
158	0.3633583383
159	0.3632933155
160	0.3631807867
161	0.3631095202
162	0.3630644301
163	0.3630123616
164	0.3629237053
165	0.362864286
166	0.3627871417
167	0.3627223738
168	0.3626794762
169	0.3626316538
170	0.3625810908
171	0.3625534997
172	0.3624934967
173	0.3624282727
174	0.3623523488
175	0.3622794907
176	0.3622337137
177	0.3621812032
178	0.362151369
179	0.3620812663
180	0.3620194126
181	0.3619696899
182	0.361925841
183	0.3618647533
184	0.3617943272
185	0.3617497252
186	0.3617073888
187	0.3616603465
188	0.3616149785
189	0.361557656
190	0.3615489053
191	0.3615120348
192	0.3614682703
193	0.3614391425
194	0.3613990551
195	0.3613483894
196	0.3613122005
197	0.3612942908
198	0.3612670214
199	0.3612474681
